
Possible line matches for the gamma energy 110 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
111.609000	Does Not	Exist	1352.900000	0  1		1241.291000	1  -1
108.850000	Does Not	Exist	1606.550000	6  1		1497.700000	0  1
109.500000	Does Not	Exist	1716.050000	2  1		1606.550000	6  1
110.646000	Does Not	Exist	1756.460000	8  1		1645.814000	4  1
109.284000	Does Not	Exist	1770.187000	5  1		1660.903000	3  1
108.820000	Does Not	Exist	1810.210000	7  1		1701.390000	4  1
109.950000	Does Not	Exist	1826.000000	4  -1		1716.050000	2  1
110.130000	Does Not	Exist	1899.300000	0  1		1789.170000	4  1
111.170000	Does Not	Exist	1900.340000	2  1		1789.170000	4  1
111.949000	Does Not	Exist	1948.559000	5  -1		1836.610000	0  1
111.740000	Does Not	Exist	2023.820000	-1  0		1912.080000	-1  0
109.250000	Does Not	Exist	2073.300000	7  1		1964.050000	2  1
109.010000	Does Not	Exist	2148.810000	-1  0		2039.800000	0  1
108.310000	Does Not	Exist	2148.810000	-1  0		2040.500000	9  -1
109.890000	Does Not	Exist	2183.190000	8  -1		2073.300000	7  1
111.390000	Does Not	Exist	2184.690000	12  1		2073.300000	7  1
108.740000	Does Not	Exist	2222.480000	2  1		2113.740000	2  1
110.220000	Does Not	Exist	2229.770000	2  1		2119.550000	-1  0
110.530000	Does Not	Exist	2230.080000	-1  0		2119.550000	-1  0
111.520000	Does Not	Exist	2249.000000	-1  0		2137.480000	7  -1
111.540000	Does Not	Exist	2249.020000	3  0		2137.480000	7  -1
109.130000	Does Not	Exist	2277.130000	3  0		2168.000000	-1  0
110.310000	Does Not	Exist	2293.500000	3  1		2183.190000	8  -1
108.810000	Does Not	Exist	2293.500000	3  1		2184.690000	12  1
108.150000	Does Not	Exist	2302.280000	-1  0		2194.130000	10  1
111.650000	Does Not	Exist	2305.780000	3  1		2194.130000	10  1
109.000000	Does Not	Exist	2324.300000	-1  0		2215.300000	-1  0
111.920000	Does Not	Exist	2342.000000	-1  0		2230.080000	-1  0
110.710000	Does Not	Exist	2356.000000	-1  0		2245.290000	-1  0
109.160000	Does Not	Exist	2381.460000	-1  0		2272.300000	-1  0
108.870000	Does Not	Exist	2386.000000	4  1		2277.130000	3  0
109.600000	Does Not	Exist	2403.100000	4  1		2293.500000	3  1
110.300000	Does Not	Exist	2403.800000	7  1		2293.500000	3  1
111.460000	Does Not	Exist	2410.850000	4  1		2299.390000	-1  0
110.950000	Does Not	Exist	2410.850000	4  1		2299.900000	0  1
108.570000	Does Not	Exist	2410.850000	4  1		2302.280000	-1  0
110.440000	Does Not	Exist	2416.220000	4  1		2305.780000	3  1
108.530000	Does Not	Exist	2418.000000	6  -1		2309.470000	8  -1
108.470000	Does Not	Exist	2418.000000	6  -1		2309.530000	2  1
109.480000	Does Not	Exist	2433.780000	-1  0		2324.300000	-1  0
111.290000	Does Not	Exist	2453.290000	9  1		2342.000000	-1  0
110.760000	Does Not	Exist	2453.290000	9  1		2342.530000	-1  0
108.420000	Does Not	Exist	2486.420000	-1  0		2378.000000	-1  0
109.760000	Does Not	Exist	2495.760000	-1  0		2386.000000	4  1
110.180000	Does Not	Exist	2511.520000	2  0		2401.340000	-1  0
110.660000	Does Not	Exist	2512.000000	-1  0		2401.340000	-1  0
108.420000	Does Not	Exist	2511.520000	2  0		2403.100000	4  1
108.900000	Does Not	Exist	2512.000000	-1  0		2403.100000	4  1
111.700000	Does Not	Exist	2514.800000	-1  0		2403.100000	4  1
108.200000	Does Not	Exist	2512.000000	-1  0		2403.800000	7  1
111.000000	Does Not	Exist	2514.800000	-1  0		2403.800000	7  1
108.610000	Does Not	Exist	2514.800000	-1  0		2406.190000	2  1
108.010000	Does Not	Exist	2561.300000	-1  0		2453.290000	9  1
108.600000	Does Not	Exist	2568.000000	7  -1		2459.400000	-1  0
109.600000	Does Not	Exist	2569.000000	2  0		2459.400000	-1  0
108.260000	Does Not	Exist	2568.000000	7  -1		2459.740000	2  1
109.260000	Does Not	Exist	2569.000000	2  0		2459.740000	2  1
111.170000	Does Not	Exist	2579.620000	10  -1		2468.450000	-1  0
110.620000	Does Not	Exist	2579.620000	10  -1		2469.000000	-1  0
