
Possible line matches for the gamma energy 110 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
111.609000	Does Not	Exist	1352.900000	0  1		1241.291000	1  -1
109.284000	Does Not	Exist	1770.187000	5  1		1660.903000	3  1
108.820000	Does Not	Exist	1810.210000	7  1		1701.390000	4  1
109.950000	Does Not	Exist	1826.000000	4  -1		1716.050000	2  1
111.170000	Does Not	Exist	1900.340000	2  1		1789.170000	4  1
109.890000	Does Not	Exist	2183.190000	8  -1		2073.300000	7  1
108.740000	Does Not	Exist	2222.480000	2  1		2113.740000	2  1
108.870000	Does Not	Exist	2386.000000	4  1		2277.130000	3  0
109.600000	Does Not	Exist	2403.100000	4  1		2293.500000	3  1
110.440000	Does Not	Exist	2416.220000	4  1		2305.780000	3  1
108.530000	Does Not	Exist	2418.000000	6  -1		2309.470000	8  -1
108.420000	Does Not	Exist	2511.520000	2  0		2403.100000	4  1
109.260000	Does Not	Exist	2569.000000	2  0		2459.740000	2  1
