
Possible line matches for the gamma energy 107 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
106.441000	Does Not	Exist	1826.000000	4  -1		1719.559000	2  -1
106.290000	Does Not	Exist	1942.900000	0  1		1836.610000	0  1
107.160000	Does Not	Exist	2080.230000	4  1		1973.070000	2  1
107.721000	Does Not	Exist	2080.791000	3  -1		1973.070000	2  1
105.639000	Does Not	Exist	2185.869000	4  -1		2080.230000	4  1
106.780000	Does Not	Exist	2187.010000	1  1		2080.230000	4  1
106.219000	Does Not	Exist	2187.010000	1  1		2080.791000	3  -1
107.631000	Does Not	Exist	2293.500000	3  1		2185.869000	4  -1
106.490000	Does Not	Exist	2293.500000	3  1		2187.010000	1  1
106.250000	Does Not	Exist	2336.020000	3  -1		2229.770000	2  1
106.290000	Does Not	Exist	2406.190000	2  1		2299.900000	0  1
106.750000	Does Not	Exist	2416.220000	4  1		2309.470000	8  -1
106.690000	Does Not	Exist	2416.220000	4  1		2309.530000	2  1
108.470000	Does Not	Exist	2418.000000	6  -1		2309.530000	2  1
108.420000	Does Not	Exist	2511.520000	2  0		2403.100000	4  1
106.620000	Does Not	Exist	2744.100000	0  1		2637.480000	2  -1
106.200000	Does Not	Exist	2850.300000	2  1		2744.100000	0  1
106.830000	Does Not	Exist	3490.830000	16  1		3384.000000	14  -1

Possible line matches for the gamma energy 110 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
109.500000	Does Not	Exist	1716.050000	2  1		1606.550000	6  1
110.646000	Does Not	Exist	1756.460000	8  1		1645.814000	4  1
109.284000	Does Not	Exist	1770.187000	5  1		1660.903000	3  1
108.820000	Does Not	Exist	1810.210000	7  1		1701.390000	4  1
109.950000	Does Not	Exist	1826.000000	4  -1		1716.050000	2  1
110.130000	Does Not	Exist	1899.300000	0  1		1789.170000	4  1
111.170000	Does Not	Exist	1900.340000	2  1		1789.170000	4  1
109.890000	Does Not	Exist	2183.190000	8  -1		2073.300000	7  1
108.740000	Does Not	Exist	2222.480000	2  1		2113.740000	2  1
108.870000	Does Not	Exist	2386.000000	4  1		2277.130000	3  0
109.600000	Does Not	Exist	2403.100000	4  1		2293.500000	3  1
110.300000	Does Not	Exist	2403.800000	7  1		2293.500000	3  1
110.950000	Does Not	Exist	2410.850000	4  1		2299.900000	0  1
110.440000	Does Not	Exist	2416.220000	4  1		2305.780000	3  1
108.530000	Does Not	Exist	2418.000000	6  -1		2309.470000	8  -1
109.260000	Does Not	Exist	2569.000000	2  0		2459.740000	2  1
110.900000	Does Not	Exist	2855.000000	0  1		2744.100000	0  1
110.340000	Does Not	Exist	3629.430000	15  -1		3519.090000	15  -1

Possible line matches for the gamma energy 112 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
