Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
258.224000	  0.405300	  0.033000	1895.420000	2  1		1637.196000	1  -1
257.915000	Does Not	Exist	2009.796000	1  0		1751.881000	6  1
258.290000	Does Not	Exist	2040.970000	8  1		1782.680000	2  1
258.230000	Does Not	Exist	2065.790000	1  0		1807.560000	8  -1
257.950000	Does Not	Exist	2103.480000	2  1		1845.530000	8  -1
258.040000	Does Not	Exist	2120.717000	4  -1		1862.677000	4  -1
258.120000	Does Not	Exist	2299.090000	1  0		2040.970000	8  1
257.759000	Does Not	Exist	2311.300000	1  0		2053.541000	5  -1
258.350000	Does Not	Exist	2337.350000	1  1		2079.000000	6  1
258.400000	Does Not	Exist	2369.100000	1  0		2110.700000	0  -1
257.700000	Does Not	Exist	2386.300000	1  0		2128.600000	1  -1
257.700000	Does Not	Exist	2421.000000	6  1		2163.300000	1  0
257.800000	Does Not	Exist	2457.000000	1  0		2199.200000	1  0
258.110000	Does Not	Exist	2469.700000	1  0		2211.590000	9  1
258.230000	Does Not	Exist	2503.830000	1  -1		2245.600000	1  0
258.100000	Does Not	Exist	2520.400000	1  -1		2262.300000	0  1
258.100000	Does Not	Exist	2569.400000	1  1		2311.300000	1  0
258.500000	Does Not	Exist	2742.200000	1  0		2483.700000	1  0
258.400000	Does Not	Exist	2768.700000	1  0		2510.300000	1  0
257.700000	Does Not	Exist	2812.000000	1  0		2554.300000	1  0
258.310000	Does Not	Exist	2859.630000	3  1		2601.320000	1  1
258.400000	Does Not	Exist	2900.000000	1  1		2641.600000	1  0
257.810000	Does Not	Exist	2940.400000	1  0		2682.590000	3  -1
258.600000	Does Not	Exist	2989.200000	1  0		2730.600000	1  0
258.500000	Does Not	Exist	3061.200000	1  1		2802.700000	0  1
Possible line matches for the gamma energy 411.798 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
412.140000	Does Not	Exist	1375.080000	0  1		962.940000	3  1
411.548000	Does Not	Exist	1982.460000	2  1		1570.912000	3  -1
411.587000	Does Not	Exist	1985.880000	8  1		1574.293000	4  1
411.460000	Does Not	Exist	2102.800000	3  -1		1691.340000	2  -1
412.140000	Does Not	Exist	2103.480000	2  1		1691.340000	2  -1
411.419000	Does Not	Exist	2163.300000	1  0		1751.881000	6  1
412.170000	Does Not	Exist	2276.000000	1  0		1863.830000	2  -1
412.270000	Does Not	Exist	2299.090000	1  0		1886.820000	4  1
411.420000	Does Not	Exist	2299.090000	1  0		1887.670000	7  1
411.350000	Does Not	Exist	2351.000000	1  0		1939.650000	9  -1
411.549000	Does Not	Exist	2362.940000	1  0		1951.391000	1  0
411.940000	Does Not	Exist	2371.300000	1  0		1959.360000	9  -1
412.002000	Does Not	Exist	2375.600000	1  0		1963.598000	5  -1
412.200000	Does Not	Exist	2386.300000	1  0		1974.100000	4  -1
412.000000	Does Not	Exist	2459.000000	1  0		2047.000000	1  0
411.750000	Does Not	Exist	2483.700000	1  0		2071.950000	4  0
411.620000	Does Not	Exist	2491.650000	4  1		2080.030000	1  0
411.500000	Does Not	Exist	2524.100000	1  0		2112.600000	1  0
412.188000	Does Not	Exist	2537.400000	1  0		2125.212000	0  1
